[INFO] [1765241820.115586853] [robot_state_publisher]: Robot initialized
[WARN] [1765241846.336921844] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.344945804] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.376631666] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.389808757] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.403251400] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.408583289] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.411043267] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.417271151] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.418837550] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.421499577] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.429630083] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.432981556] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.448292986] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.455561747] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.473832467] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.475691003] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.477149105] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.478872635] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.532068185] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.533889720] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.536048560] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.537938388] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.538842884] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.539981140] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.540810050] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.541754964] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.542723004] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.543836676] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.544800174] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.568104104] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.573932680] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.579096854] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.588613209] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.620702129] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.623520122] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.634703629] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.679037935] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.680181525] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.681736714] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.689055603] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.704689379] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.804396451] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.805350116] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.806512581] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.807508581] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.808487372] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.809527748] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.810670088] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.811781092] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.812661379] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.813795426] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.851865263] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.918825678] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.925906473] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.950919141] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.951525583] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.952237862] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.969410036] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.983953309] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.986483040] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.995134275] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241846.999236613] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.018913338] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.021652784] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.032786366] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.037773820] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.054719308] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.055850396] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.057685471] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.059692762] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.069505873] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.070451995] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.078739502] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.082214728] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.082962842] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.090466608] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1765241847.093239555] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
